City ID,City Name,Cloudiness,Country,Date of Request,Humidity,Latitude,Longitude,Temperature,Wind Speed
318,Hualmay,35,PE,1659650959,76,-11.0964,-77.6139,64.06,11.32
319,Meulaboh,100,ID,1659650685,74,4.1363,96.1285,75.87,2.8
320,Araxá,59,BR,1659650960,38,-19.5933,-46.9406,68.43,2.44
321,Fort Nelson,100,CA,1659650960,34,58.8053,-122.7002,68.99,5.77
322,Havre-St-Pierre,100,CA,1659650960,94,50.2334,-63.5986,61.16,3.44
323,Bonoua,81,CI,1659650961,83,5.2741,-3.595,74.82,4.85
324,Husavik,86,IS,1659650372,86,66.0449,-17.3389,44.29,7.25
325,Saskylakh,100,RU,1659650961,68,71.9167,114.0833,54.73,4.97
326,Bijie,9,CN,1659650962,91,27.3125,105.2942,64.4,0.45
327,Pitman,40,US,1659650962,57,39.7329,-75.1316,96.67,10.36
328,Beidao,3,CN,1659650962,91,34.5686,105.8933,69.71,2.13
329,Eston,39,CA,1659650963,22,51.1501,-108.7514,91.92,24.56
330,Isangel,1,VU,1659650963,76,-19.55,169.2667,78.8,5.21
331,Thompson,100,CA,1659650964,26,55.7435,-97.8558,69.73,2.53
332,Ostrovnoy,92,RU,1659650964,93,68.0531,39.5131,60.21,17.07
333,Morant Bay,58,JM,1659650964,72,17.8815,-76.4093,87.42,13.49
334,Tigil',100,RU,1659650965,73,57.8,158.6667,58.1,13.78
335,Oranjemund,0,NA,1659650380,90,-28.55,16.4333,52.84,8.19
337,Coahuayana Viejo,17,MX,1659650965,64,18.7333,-103.6833,89.82,6.82
338,Boende,51,CD,1659650966,86,-0.2167,20.8667,73.51,2.06
339,Abu Kamal,1,SY,1659650966,19,34.4506,40.9171,96.3,5.55
340,Port Alfred,61,ZA,1659650966,83,-33.5906,26.891,59.14,5.3
341,Rieti,8,IT,1659650967,63,42.4072,12.8592,76.39,3.09
342,Aksarka,12,RU,1659650967,75,66.5606,67.7975,56.88,6.15
343,Loikaw,100,MM,1659650968,97,19.6742,97.2094,66.76,2.1
345,Kushiro,75,JP,1659650968,88,42.975,144.3747,58.15,5.75
346,Segezha,37,RU,1659650968,75,63.7415,34.3222,61.75,10.38
347,Aquiraz,32,BR,1659650969,82,-3.9014,-38.3911,80.19,8.08
348,Kavieng,100,PG,1659650969,74,-2.5744,150.7967,82.76,12.59
349,Kovdor,85,RU,1659650969,94,67.5662,30.4758,57.27,6.82
350,Huadian,100,CN,1659650970,93,42.9633,126.7478,73.63,3.85
351,Esperance,93,AU,1659650970,74,-33.8667,121.9,48.04,17.72
352,Noumea,35,NC,1659650971,99,-22.2763,166.4572,75.99,8.61
353,Palana,100,RU,1659650971,93,59.1167,159.9667,50.29,20.31
354,São Félix do Xingu,58,BR,1659650971,38,-6.6447,-51.995,84.9,0.98
355,Yantal',94,RU,1659650972,97,56.8471,105.2542,50.67,3.74
356,Manavālakurichi,100,IN,1659650972,88,8.1333,77.3,76.41,20.22
357,San Cristobal,41,VE,1659650373,56,7.7669,-72.225,78.98,3.91
358,Abu Dhabi,6,AE,1659650887,73,24.4667,54.3667,93.31,9.93
359,Atambua,15,ID,1659650973,88,-9.1061,124.8925,67.5,3.96
360,Antigonish,48,CA,1659650973,61,45.6169,-61.9986,84.15,5.99
361,Vaitape,43,PF,1659650840,78,-16.5167,-151.75,77.32,25.41
362,Harwich,100,GB,1659650974,77,51.9419,1.2844,66.43,4.0
363,Cumana,98,VE,1659650974,87,10.4635,-64.1775,78.57,12.44
364,Kalmunai,100,LK,1659650974,66,7.4167,81.8167,80.2,8.43
365,Aksu,37,CN,1659650975,39,41.1231,80.2644,76.03,5.59
366,Province of Mantua,0,IT,1659650975,64,45.1667,10.7833,85.24,3.0
